	no	yes2	yes1
224	-211.198	-211.198	-211.198
225	NA	NA	NA
226	NA	-112.507	NA
227	-106.649	-194.964	-106.649
228	85.1156	85.1156	85.1156
229	-203.927	-203.927	-203.927
230	NA	NA	NA
231	-215.056	-215.056	-215.056
232	-165.108	-165.108	-165.108
233	-218.916	-218.916	-218.916
234	NA	650.287	NA
235	NA	NA	NA
236	-801.653	NA	-801.653
237	-36.8299	NA	-36.8299
238	NA	NA	NA
239	NA	NA	NA
240	284.942	NA	284.942
241	172.739	NA	172.739
242	NA	NA	NA
243	NA	NA	NA
244	NA	NA	NA
245	-114.049	-218.268	-114.049
246	NA	NA	NA
247	-175.914	-175.914	-175.914
248	-160.275	-160.275	-160.275
249	-107.175	-173.683	-107.175
250	-222.541	-222.541	-222.541
